79 16 16
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.750 0.938 0.875 0.813 0.813 0.188 0.313 0.438 0.375 0.250
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.750 0.750 0.750 0.750 0.750 0.750 0.688 0.688 0.688 0.688 0.125 0.188 0.375 0.125 0.063
0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.750 0.750 0.750 0.750 0.750 0.750 0.750 0.813 0.813 0.750 0.188 0.188 0.250 0.125 0.250
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.750 0.750 0.750 0.875 0.813 0.688 0.688 0.688 0.688 0.688 0.125 0.500 0.125 0.188 0.313
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.188 0.313 0.375 0.063 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.750 0.688 0.938 0.813 0.688 0.688 0.813 0.813 0.813 0.813 0.438 0.250 0.125 0.250 0.375
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.813 0.750 0.813 0.750 0.750 0.750 0.750 0.750 0.750 0.313 0.313 0.313 0.188 0.063
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.750 0.938 0.813 0.750 0.750 0.750 0.688 0.688 0.688 0.188 0.063 0.250 0.125 0.125
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.250 0.438 0.063 0.063 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.125 0.125 0.188 0.375 0.250
0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.750 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.188 0.000 0.000 0.125 0.313
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000
0.875 0.813 0.875 0.813 0.750 0.750 0.750 0.750 0.688 0.688 0.688 0.188 0.125 0.125 0.250 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.000 0.063 0.313 0.250 0.313
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.750 0.938 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.250 0.250 0.063 0.188 0.313
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.875 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.063 0.125 0.375 0.125 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.250 0.063 0.125 0.250 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.250 0.063 0.125 0.063 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000
0.688 0.688 0.813 0.938 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.250 0.063 0.000 0.188 0.250
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.063 0.375 0.063 0.000 0.250
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000
0.875 0.813 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.188 0.063 0.250 0.125 0.313
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.875 0.875 0.750 0.813 0.813 0.813 0.813 0.813 0.750 0.500 0.375 0.375 0.313 0.563
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.813 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.063 0.063 0.063 0.125 0.188
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.750 0.813 0.750 0.688 0.688 0.688 0.688 0.688 0.688 0.063 0.313 0.188 0.125 0.375
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.813 0.875 0.813 0.813 0.813 0.813 0.813 0.813 0.813 0.813 0.313 0.250 0.500 0.250 0.188
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000
0.813 0.688 0.688 0.813 0.750 0.750 0.938 0.813 0.750 0.750 0.750 0.563 0.250 0.250 0.313 0.250
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.125 0.000 0.063 0.063 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000
0.750 0.750 0.750 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.188 0.188 0.125 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.750 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.063 0.188 0.313 0.000 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.750 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.250 0.188 0.188 0.188 0.438
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.750 0.750 0.750 0.688 0.688 0.688 0.688 0.688 0.688 0.063 0.313 0.125 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.875 0.875 0.813 0.875 0.750 0.813 0.813 0.875 0.813 0.875 0.438 0.375 0.500 0.313 0.250
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.000 0.063 0.188 0.375 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.375 0.063 0.250 0.188 0.188
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.250 0.375 0.125 0.500 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.750 0.813 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.250 0.125 0.125 0.063 0.125
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.750 0.750 0.750 0.750 0.750 0.688 0.688 0.688 0.688 0.688 0.250 0.125 0.375 0.125 0.188
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.188 0.125 0.250 0.313 0.125
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.063 0.125 0.313 0.375 0.375
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.750 0.813 0.313 0.313 0.250 0.125 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000
0.875 0.813 0.875 0.750 0.750 0.750 0.750 0.750 0.750 0.688 0.688 0.125 0.063 0.563 0.188 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.813 0.813 0.750 0.750 0.750 0.750 0.875 0.750 0.688 0.688 0.000 0.375 0.250 0.250 0.250
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.750 0.938 0.688 0.688 0.750 0.688 0.688 0.750 0.750 0.875 0.250 0.188 0.375 0.188 0.188
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.125 0.375 0.125 0.063 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.750 0.313 0.563 0.313 0.250 0.375
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.875 0.875 0.875 0.750 0.750 0.813 0.750 0.688 0.688 0.688 0.250 0.188 0.375 0.188 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.750 0.875 0.750 0.688 0.688 0.813 0.750 0.875 0.688 0.750 0.625 0.375 0.125 0.250 0.375
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.750 0.813 0.813 0.750 0.813 0.750 0.813 0.750 0.750 0.688 0.188 0.063 0.188 0.313 0.188
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.750 0.750 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.188 0.250 0.563 0.125 0.125
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.938 0.750 0.750 0.750 0.938 0.688 0.688 0.688 0.938 0.313 0.688 0.000 0.250 0.313
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.875 0.813 0.750 0.750 0.750 0.750 0.750 0.688 0.813 0.813 0.438 0.500 0.188 0.125 0.125
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.813 0.750 0.750 0.750 0.813 0.813 0.813 0.688 0.688 0.688 0.125 0.563 0.000 0.000 0.188
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.813 0.875 0.813 0.813 0.875 0.813 0.750 0.750 0.750 0.813 0.188 0.313 0.313 0.188 0.000
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.750 0.750 0.750 0.688 0.688 0.688 0.688 0.688 0.688 0.813 0.438 0.063 0.125 0.188 0.313
0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.813 0.750 0.813 0.750 0.813 0.750 0.813 0.813 0.875 0.813 0.438 0.188 0.188 0.375 0.438
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.813 0.750 0.750 0.688 0.688 0.688 0.688 0.688 0.750 0.813 0.188 0.375 0.500 0.438 0.125
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.750 0.750 0.875 0.813 0.875 0.750 0.313 0.438 0.125 0.125 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.813 0.875 0.750 0.750 0.750 0.750 0.750 0.750 0.750 0.750 0.188 0.250 0.438 0.188 0.063
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 0.750 0.750 0.875 0.750 0.750 0.750 0.813 0.750 0.750 0.688 0.313 0.125 0.063 0.000 0.063
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.688 0.750 0.750 0.188 0.313 0.250 0.125 0.563
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.750 0.750 0.750 0.750 0.938 0.750 0.813 0.750 0.750 0.750 0.188 0.375 0.125 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.875 0.813 0.813 0.938 0.750 0.750 0.813 0.688 0.688 0.688 0.688 0.188 0.188 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.813 0.750 0.750 0.750 0.750 0.813 0.750 0.750 0.750 0.750 0.750 0.375 0.250 0.125 0.250 0.438
0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
